0: 1, 2, 
0 0 0  | 0 0 : 0.257831
2 2 0  | 2 0 : 0.666275
0 0 1  | 0 1 : 0.310976
2 2 2  | 2 2 : 0.341024
0 1 0  | 1 0 : 0.330726
0 1 2  | 1 2 : 0.600242
0 2 1  | 2 1 : 0.505910
0 2 2  | 2 2 : 0.325883
1 0 0  | 0 0 : 0.496386
1 0 1  | 0 1 : 0.342988
1 0 2  | 0 2 : 0.508588
1 1 0  | 1 0 : 0.325140
1 1 1  | 1 1 : 0.350340
1 1 2  | 1 2 : 0.189211
1 2 0  | 2 0 : 0.333725
1 2 1  | 2 1 : 0.494090
1 2 2  | 2 2 : 0.333093
2 0 0  | 0 0 : 0.245783
2 0 1  | 0 1 : 0.346037
2 0 2  | 0 2 : 0.491412
2 1 0  | 1 0 : 0.344134
2 1 1  | 1 1 : 0.649660
2 1 2  | 1 2 : 0.210548


1: 0, 2, 
0 0 0  | 0 0 : 0.520259
2 2 0  | 2 0 : 0.480102
0 0 1  | 0 1 : 0.322785
2 2 2  | 2 2 : 0.313038
0 1 0  | 1 0 : 0.518022
0 1 1  | 1 1 : 0.265018
0 1 2  | 1 2 : 0.363823
0 2 0  | 2 0 : 0.259102
0 2 1  | 2 1 : 0.372742
0 2 2  | 2 2 : 0.340834
1 0 0  | 0 0 : 0.479741
1 0 2  | 0 2 : 0.767370
1 1 0  | 1 0 : 0.243923
1 1 1  | 1 1 : 0.242638
1 1 2  | 1 2 : 0.320819
1 2 0  | 2 0 : 0.260796
1 2 1  | 2 1 : 0.627258
1 2 2  | 2 2 : 0.346128
2 0 1  | 0 1 : 0.677215
2 0 2  | 0 2 : 0.232630
2 1 0  | 1 0 : 0.238055
2 1 1  | 1 1 : 0.492344
2 1 2  | 1 2 : 0.315358


2: 0, 1, 3, 4, 
0 0 0 0 0  | 0 0 0 0 : 0.150000
0 0 0 0 1  | 0 0 0 1 : 0.782609
0 0 0 0 2  | 0 0 0 2 : 0.172414
0 0 0 1 0  | 0 0 1 0 : 0.379747
0 0 0 1 1  | 0 0 1 1 : 0.863158
0 0 0 1 2  | 0 0 1 2 : 0.283019
0 0 0 2 0  | 0 0 2 0 : 0.837838
0 0 0 2 1  | 0 0 2 1 : 0.948454
0 0 0 2 2  | 0 0 2 2 : 0.769231
0 0 1 0 0  | 0 1 0 0 : 0.034884
0 0 1 0 1  | 0 1 0 1 : 0.089041
0 0 1 0 2  | 0 1 0 2 : 0.050955
0 0 1 1 0  | 0 1 1 0 : 0.063361
0 0 1 1 1  | 0 1 1 1 : 0.214900
0 0 1 1 2  | 0 1 1 2 : 0.068966
0 0 1 2 0  | 0 1 2 0 : 0.309091
0 0 1 2 1  | 0 1 2 1 : 0.685714
0 0 1 2 2  | 0 1 2 2 : 0.350000
0 1 0 0 0  | 1 0 0 0 : 0.101266
0 1 0 0 1  | 1 0 0 1 : 0.519608
0 1 0 0 2  | 1 0 0 2 : 0.123288
0 1 0 1 0  | 1 0 1 0 : 0.193833
0 1 0 1 1  | 1 0 1 1 : 0.576779
